"","location","state","binge_both_sexes_2011","binge_females_2011","binge_males_2011","any_both_sexes_2011","any_females_2011","any_males_2011"
"1","Adams County","Washington",16.2,7.2,25.5,42.6,29.2,56.6
"2","Franklin County","Washington",15.7,8.4,23.2,45.2,36.2,54.6
"3","Grant County","Washington",17,9.4,24.9,50,40.8,59.5
"4","Yakima County","Washington",17.3,11,23.7,51,43.4,58.9
"5","Lewis County","Washington",17.7,11.8,23.7,55,48.7,61.6
"6","Columbia County","Washington",17.8,10.9,25,55.7,50.8,60.9
"7","Chelan County","Washington",17.5,12.3,23,55.8,50.3,61.5
"8","Ferry County","Washington",20.5,14,27.3,56.2,52.1,60.5
"9","Cowlitz County","Washington",17.7,13.1,22.5,56.3,51.2,61.5
"10","Okanogan County","Washington",18.1,12.3,24.1,56.3,51.3,61.5
"11","Walla Walla County","Washington",18.3,12.4,24.3,56.3,50.2,62.6
"12","Asotin County","Washington",19.1,12.3,26.2,57,51.7,62.4
"13","Grays Harbor County","Washington",18.9,13.4,24.6,57.3,51.4,63.5
"14","Stevens County","Washington",20.6,13.1,28.3,58,51.9,64.3
"15","Wahkiakum County","Washington",20.6,16.3,25.1,58.4,52.2,64.8
"16","Benton County","Washington",18.9,11.9,26.2,58.8,52.4,65.5
"17","Klickitat County","Washington",19.5,13.8,25.5,59.4,54.9,64.1
"18","Pierce County","Washington",17.5,13.2,22,59.4,54.6,64.4
"19","Clark County","Washington",18.5,13.3,23.8,60.6,56.9,64.3
"20","Douglas County","Washington",18.6,13.1,24.4,60.7,56.9,64.6
"21","Clallam County","Washington",18.9,14.1,23.9,61,55.9,66.2
"22","Thurston County","Washington",18.3,13.6,23.2,61.3,57,65.7
"23","Skagit County","Washington",18.8,13.5,24.3,61.4,56.7,66.2
"24","Snohomish County","Washington",19.8,14.1,25.8,61.5,57.3,65.7
"25","Mason County","Washington",20,14.6,25.5,61.6,56.8,66.5
"26","Pacific County","Washington",21,14.9,27.3,61.8,55.7,68.1
"27","Washington","Washington",19.3,14,24.7,61.9,57.5,66.4
"28","Kitsap County","Washington",18.6,14,23.4,62.2,58.2,66.4
"29","Spokane County","Washington",20.4,13.7,27.4,62.4,58,66.8
"30","Pend Oreille County","Washington",21.8,14.2,29.7,62.6,60.1,65.3
"31","Whitman County","Washington",19.9,14,25.9,63.2,59.6,66.9
"32","Skamania County","Washington",20.6,14.3,27.1,63.3,59.8,67
"33","Kittitas County","Washington",20.6,14.9,26.5,64.1,61.5,66.8
"34","Lincoln County","Washington",22.4,15.3,29.7,64.4,58.6,70.4
"35","Whatcom County","Washington",19.9,15.4,24.5,65.8,62,69.7
"36","Garfield County","Washington",21.3,16.7,26,66,62,70.2
"37","King County","Washington",20.4,15.7,25.3,66.2,62.9,69.7
"38","Island County","Washington",20,13.4,26.7,66.6,62.4,71.1
"39","Jefferson County","Washington",20.2,14.5,26.1,68.4,65.1,71.8
"40","San Juan County","Washington",22.8,17.4,28.3,73,70.5,75.5
