"","location","state","binge_both_sexes_2012","binge_females_2012","binge_males_2012","any_both_sexes_2012","any_females_2012","any_males_2012","non_binge_2012"
"1","San Juan County","Washington",21.4,16.5,26.5,73.1,70.4,75.8,51.7
"2","Jefferson County","Washington",18.9,13.6,24.5,68.4,64.9,72.1,49.5
"3","Island County","Washington",18.7,12.6,25,66.8,62.2,71.6,48.1
"4","King County","Washington",19.2,15,23.5,66.4,63,69.8,47.2
"5","Whatcom County","Washington",18.5,14.4,22.7,65.9,61.8,70.2,47.4
"6","Kittitas County","Washington",19.6,14.6,24.7,65.1,62.2,68.1,45.5
"7","Garfield County","Washington",19.4,15.5,23.4,64.9,60,70,45.5
"8","Lincoln County","Washington",20.6,14.3,27.2,63.4,56.8,70.3,42.8
"9","Skamania County","Washington",19.4,13.6,25.5,63.3,59.6,67.2,43.9
"10","Whitman County","Washington",18.2,13.1,23.5,62.2,57.9,66.7,44
"11","Kitsap County","Washington",17.4,13,22,62.1,57.7,66.6,44.7
"12","Pend Oreille County","Washington",20.1,13.4,27.1,62.1,58.7,65.6,42
"13","Pacific County","Washington",19.9,14.2,25.9,62,55.7,68.5,42.1
"14","Washington","Washington",18.1,13.3,23,61.8,57.2,66.7,43.7
"15","Snohomish County","Washington",18.7,13.4,24.1,61.7,57.4,66.1,43
"16","Skagit County","Washington",17.5,12.6,22.6,61.5,56.5,66.8,44
"17","Thurston County","Washington",17.5,12.9,22.2,61.5,56.9,66.3,44
"18","Spokane County","Washington",18.8,12.8,25,61.4,56.1,66.9,42.6
"19","Mason County","Washington",18.8,13.6,24.1,61.2,56.1,66.5,42.4
"20","Douglas County","Washington",17.3,12.5,22.4,61,57,65.2,43.7
"21","Clallam County","Washington",17.6,13.2,22.2,60.9,55.8,66.3,43.3
"22","Clark County","Washington",17.5,12.9,22.4,60.9,56.8,65.1,43.4
"23","Pierce County","Washington",16.5,12.4,20.7,59.3,54.1,64.8,42.8
"24","Klickitat County","Washington",18.1,12.9,23.4,58.6,53.7,63.7,40.5
"25","Wahkiakum County","Washington",19.5,15.6,23.6,58.3,51.9,65,38.8
"26","Stevens County","Washington",19.2,12.5,26.1,57.9,50.9,65.2,38.7
"27","Benton County","Washington",17.2,10.7,23.9,57.4,49.9,65.1,40.2
"28","Grays Harbor County","Washington",17.8,12.7,23.1,57.4,51.3,63.8,39.6
"29","Cowlitz County","Washington",16.9,12.7,21.2,56.7,51.4,62.3,39.8
"30","Asotin County","Washington",17.7,11.7,23.8,56.5,50.3,63,38.8
"31","Ferry County","Washington",19.1,13.3,25.1,56,51.1,61.1,36.9
"32","Okanogan County","Washington",16.7,11.5,22,56,50.5,61.6,39.3
"33","Chelan County","Washington",16.3,11.6,21.1,55.7,49.9,61.7,39.4
"34","Columbia County","Washington",16.5,10.3,22.9,55.2,49.6,61.1,38.7
"35","Walla Walla County","Washington",16.8,11.6,22.3,55.1,48.1,62.5,38.3
"36","Lewis County","Washington",16.5,11.1,22.2,54.6,48,61.4,38.1
"37","Yakima County","Washington",16,10.3,21.9,50.4,42.2,58.8,34.4
"38","Grant County","Washington",15.8,8.9,22.9,49.9,40,60.1,34.1
"39","Franklin County","Washington",14.7,8.1,21.5,45.9,36,56.2,31.2
"40","Adams County","Washington",15,6.8,23.5,42.4,28.4,56.9,27.4
