"","state","minimum","maximumn"
"1","Alabama",8.6,16.9
"2","Alaska",14.6,27.6
"3","Arizona",14.9,22.7
"4","Arkansas",12.1,19.2
"5","California",15,24
"6","Colorado",9.2,31.9
"7","Connecticut",18.2,21.6
"8","Delaware",17.5,20.9
"9","District Of Columbia",22,22
"10","Florida",12.1,25
"11","Georgia",10.4,18.4
"12","Hawaii",19.7,22.6
"13","Idaho",5.9,29.2
"14","Illinois",14.7,32.6
"15","Indiana",14.1,24.6
"16","Iowa",20.4,32.3
"17","Kansas",14.2,24
"18","Kentucky",8.5,27.3
"19","Louisiana",11.5,23
"20","Maine",18.2,22.1
"21","Maryland",14.8,24
"22","Massachusetts",20.5,24.1
"23","Michigan",18.5,33.3
"24","Minnesota",19.7,30.6
"25","Mississippi",9,18.5
"26","Missouri",13.5,24.4
"27","Montana",18.2,33.2
"28","Nebraska",16.3,35.2
"29","Nevada",16.2,33.8
"30","New Hampshire",18.7,22.4
"31","New Jersey",16,22.6
"32","New Mexico",12.4,20.1
"33","New York",16.1,23
"34","North Carolina",10.8,20.1
"35","North Dakota",20.9,34.2
"36","Ohio",13.7,27.1
"37","Oklahoma",11,18
"38","Oregon",15.1,23.6
"39","Pennsylvania",14.6,28.1
"40","Rhode Island",19.4,23.2
"41","South Carolina",11.9,23.6
"42","South Dakota",17.4,32.8
"43","Tennessee",7.1,16.3
"44","Texas",10.8,35.5
"45","Utah",6.5,18
"46","Vermont",19.4,23.4
"47","Virginia",9.1,25.6
"48","Washington",14.7,21.4
"49","West Virginia",9,16
"50","Wisconsin",23.2,36
"51","Wyoming",14.4,27.2
